Eil. Nr.,Namo adresas,Namo naudingas plotas,Aukštų skaičius
1,Geležinio Vilko g. 1,"3519,72",9
2,R. Kalantos g. 121,"1273,95",3
3,R. Kalantos g. 133,"309,81",5
4,Kovo 11-osios g. 102,"4223,86",5
5,Laimos g. 7,"2561,23",5
6,P. Lukšio g. 2,"3811,06",12
7,T. Masiulio g. 5,"1354,87",3
8,T. Masiulio g. 8,"1825,14",3
9,T. Masiulio g. 13,"1815,38",3
10,Partizanų g. 86,"4222,39",9
11,Partizanų g. 138,"4164,03",12
12,Partizanų g. 198,"3479,72",12
13,Partizanų g. 200,"3445,31",12
14,P. Plechavičiaus g. 5,"4063,03",9
15,Pramonės pr. 28,"5508,65",5
16,Prancūzų g. 59,"3724,44",9
17,Savanorių pr. 268,"4282,51",12
18,Šiaurės pr. 29,"3747,55",9
19,Taikos pr. 111,"4330,52",9
20,Baltijos g. 36,"5281,84",9
21,Birželio 23-osios g. 9,"2253,65",5
22,Šv. Gertrūdos g. 8,"1332,90",3
23,Lentvario g. 5,"2264,46",10
24,A. Mickevičiaus g. 17,"973,34",3
25,Nemuno g. 18,"631,65",3
26,Trakų g. 31,"2898,92",3