Eil. Nr.,Namo adresas,"Namo bendrasis naudingasis plotas, kv. m",Aukštų skaičius,Butų skaičius,Namo valdymo forma
1,A. ir J. Gravrogkų g. 1,1918,4,48,UAB Būsto valda
2,A. ir J. Gravrogkų g. 15,1911,4,43,UAB Būsto valda
3,A. ir J. Gravrogkų g. 3,1904,4,48,UAB Būsto valda
4,A. ir J. Gravrogkų g. 5,723,4,17,UAB Būsto valda
5,A. ir J. Gravrogkų g. 7,713,4,16,UAB Būsto valda
6,A. Juozapavičiaus pr. 108,1217,4,32,UAB Būsto valda
7,A. Juozapavičiaus pr. 20,1482,4,25,Jungtinės veiklos sutartis
8,A. Juozapavičiaus pr. 97,552,5,60,UAB Būsto valda
9,A. Juozapavičiaus pr. 99,420,4,16,UAB Būsto valda
10,A. Smetonos al. 85,510,3,13,UAB Kauno butų ūkis
11,A. Stulginskio g. 60,936,3,18,UAB Kauno butų ūkis
12,A. Stulginskio g. 64,964,3,18,UAB Kauno butų ūkis
13,A.Juozapavičiaus pr. 46,911,3,24,UAB Būsto valda
14,A.Juozapavičiaus pr. 48A,1561,3,25,UAB Būsto valda
15,Bajorų g. 4,1025,3,18,UAB Kauno butų ūkis
16,Baltų pr. 139,3893,12,48,Bendrija
17,Baltų pr. 3,5185,9,81,Bendrija
18,Birželio 23-iosios g. 15,2473,5,45,Bendrija
19,Biržiškų g. 1,2876,5,60,UAB Būsto valda
20,Biržiškų g. 11,2878,5,61,UAB Būsto valda
21,Biržiškų g. 3,2875,5,60,UAB Būsto valda
22,Biržiškų g. 15,2875,5,60,UAB Būsto valda
23,Biržiškų g. 7,2877,5,60,UAB Būsto valda
24,Biržiškų g. 9,2874,5,61,UAB Būsto valda
25,Draugystės g. 3A,2897,12,48,City Service SE
26,Draugystės g. 3C,2913,12,48,City Service SE
27,Draugystės g. 5D,2311,5,60,City Service SE
28,Draugystės g. 5E,2332,5,59,Bendrija
29,Draugystės g. 5F,2344,5,62,City Service SE
30,Draugystės g. 7A,2288,5,40,City Service SE
31,Draugystės g. 7B,1631,5,30,City Service SE
32,Draugystės g. 7C,2335,5,47,City Service SE
33,Draugystės g. 9A,2249,9,38,Bendrija
34,Draugystės g. 9B,1599,5,30,City Service SE
35,Draugystės g. 9C,1628,5,30,Bendrija
36,Draugystės g. 9D,2317,5,45,City Service SE
37,Draugystės g. 9E,3842,5,65,City Service SE
38,Draugystės g. 9F,1641,5,31,City Service SE
39,J. Basanavičiaus al. 47,2274,5,40,UAB Būsto valda
40,Jėgainės g. 23,640,2,12,UAB Kauno butų ūkis
41,K. Baršausko g. 47,821,3,19,UAB Būsto valda
42,K. Baršausko g. 51,815,3,18,UAB Būsto valda
43,K. Baršausko g. 53,812,3,18,UAB Būsto valda
44,K. Baršausko g. 55,819,3,18,UAB Būsto valda
45,K. Baršausko g. 65,1454,3,38,UAB Būsto valda
46,K. Baršausko g. 67,930,3,24,UAB Būsto valda
47,K. Baršausko g. 68,1432,4,28,UAB Būsto valda
48,K. Baršausko g. 71,1215,4,32,UAB Būsto valda
49,K. Baršausko g. 73,1905,5,45,Bendrija
50,K. Baršausko g. 74,1422,4,32,UAB Būsto valda
51,K. Baršausko g. 78,1429,4,32,UAB Būsto valda
52,K. Baršausko g. 79,1333,4,88,UAB Būsto valda
53,K. Baršausko g. 80,1424,4,31,UAB Būsto valda
54,K. Baršausko g. 81,1411,4,32,UAB Būsto valda
55,K. Baršausko g. 82,1432,4,32,UAB Būsto valda
56,K. Baršausko g. 85,1596,5,26,UAB Būsto valda
57,K. Baršausko g. 86,1406,4,32,UAB Būsto valda
58,K. Baršausko g. 87,810,3,20,UAB Būsto valda
59,K. Baršausko g. 88,1422,4,33,UAB Būsto valda
60,K. Baršausko g. 89,820,3,18,UAB Būsto valda
61,K. Baršausko g. 90,1443,4,33,UAB Būsto valda
62,K. Baršausko g. 92,1433,4,31,UAB Būsto valda
63,K. Škirpos g. 7,2185,5,45,Bendrija
64,K. Škirpos g. 9,2185,5,45,Bendrija
65,Kuršių g. 6,3565,9,54,Bendrija
66,Lietuvių g. 2,1274,4,24,UAB Būsto valda
67,M. Riomerio g. 11,1218,4,32,UAB Būsto valda
68,M. Riomerio g. 12,725,4,16,UAB Būsto valda
69,M. Riomerio g. 13,730,4,16,UAB Būsto valda
70,M. Riomerio g. 14,723,4,18,UAB Būsto valda
71,M. Riomerio g. 15,725,4,16,UAB Būsto valda
72,M. Riomerio g. 16,2874,4,60,UAB Būsto valda
73,M. Riomerio g. 19,722,4,16,UAB Būsto valda
74,M. Riomerio g. 21,719,4,16,UAB Būsto valda
75,M. Riomerio g. 23,724,4,16,UAB Būsto valda
76,M. Riomerio g. 27,725,4,16,UAB Būsto valda
77,M. Riomerio g. 3,1450,4,33,UAB Būsto valda
78,M. Riomerio g. 33,2641,9,108,UAB Būsto valda
79,M. Riomerio g. 4,1960,4,48,UAB Būsto valda
80,M. Riomerio g. 5,1423,4,32,UAB Būsto valda
81,M. Riomerio g. 7,1220,4,33,UAB Būsto valda
82,M. Riomerio g. 8,731,4,16,UAB Būsto valda
83,Mažoji g. 5,1203,5,32,UAB Kauno butų ūkis
84,P. Plechavičiaus g. 2,5174,16,93,Bendrija
85,Pagėgių g. 26,1246,5,21,UAB Kauno butų ūkis
86,Pramonės pr. 95,3785,9,72,City Service SE
87,Miško g. 30,2383,4,53,UAB Nemuno būstas
88,R. Kalantos g. 127,1316,3,18,UAB Kauno butų ūkis
89,R. Kalantos g. 131,1423,3,34,UAB Kauno butų ūkis
90,R. Kalantos g. 23,1461,3,28,UAB Kauno butų ūkis
91,R. Kalantos g. 40,1248,3,23,UAB Kauno butų ūkis
92,R. Kalantos g. 63,859,2,15,UAB Kauno butų ūkis
93,R. Kalantos g. 65,642,2,12,UAB Kauno butų ūkis
94,R.Kalantos g. 173,2043,5,35,Bendrija
95,Raudondvario pl. 182,1216,4,32,UAB Kauno butų ūkis
96,M. Riomerio g. 35,2636,9,107,UAB Būsto valda
97,Saulės g. 8,4818,9,52,Bendrija
98,Savanorių pr. 196,3032,5,68,UAB Būsto valda
99,"
Savanorių pr. 204 /
Taikos pr. 2
",4358,4/5,92,"
UAB Būsto valda
 
Bendrija
"
100,Sąjungos a. 10,924,3,71,UAB Kauno butų ūkis
101,Sąjungos a. 11,1516,3,30,UAB Kauno butų ūkis
102,Sąjungos a. 15,895,3,25,UAB Kauno butų ūkis
103,Sąjungos a. 7,1420,4,32,UAB Kauno butų ūkis
104,Sąjungos a. 8,994,3,21,UAB Kauno butų ūkis
105,T. Masiulio g. 1,968,3,19,UAB Kauno butų ūkis
106,T. Masiulio g. 11,1477,3,27,UAB Kauno butų ūkis
107,T. Masiulio g. 12,1470,3,29,UAB Kauno butų ūkis
108,T. Masiulio g. 14,1325,3,27,UAB Kauno butų ūkis
109,T. Masiulio g. 4,1002,3,18,UAB Kauno butų ūkis
110,T. Masiulio g. 6,1006,3,19,UAB Kauno butų ūkis
111,T. Masiulio g. 7,1478,3,30,UAB Kauno butų ūkis
112,"Taikos pr. 82, II korp.",1263,5,20,City Service SE
113,Taikos pr. 76,2711,5,60,Bendrija
114,"Taikos pr. 82, I korpusas",4136,5,70,Bendrija
115,"Taikos pr. 82A, II korp.",1250,5,20,Bendrija
116,"Taikos pr. 82A, III korp",1035,5,17,Bendrija
117,"Taikos pr. 82A, IV korp.",2104,9,36,Bendrija
118,Taikos pr. 82B,2270,5,40,City Service SE
119,"Taikos pr. 84, IIk.",6794,9,114,Bendrija
120,"Taikos pr. 84, I korpusas",2120,9,36,City Service SE
121,"Taikos pr. 84, III korp.",1286,5,20,City Service SE
122,"Taikos pr. 84, IV korp.",2121,9,36,City Service SE
123,Taikos pr. 84A,2293,5,40,Bendrija
124,"Taikos pr. 86, II korp.",1271,5,21,Bendrija
125,"Taikos pr. 86, III korp.",1271,5,20,Bendrija
126,"Taikos pr. 86, IV korp.",2187,9,37,Bendrija
127,Taikos pr. 86A,2262,5,41,Bendrija
128,Tunelio g . 45,1212,4,33,UAB Būsto valda
129,Tunelio g. 43,1241,4,32,UAB Būsto valda
130,Vokiečių g. 50,880,2,14,UAB Būsto valda